Company,Website,Industry,Product/Service Category,Business Type,Employees Count,Revenue,Year Founded,BBB Rating,City,State,Company Phone,Company LinkedIn,Owner's First Name,Owner's Last Name,Owner's Title,Owner's LinkedIn,Owner's Phone Number,Owner's Email,Source,Lead Score
Marshall-Maldonado,https://www.gray-molina.org/,Education,EHR Systems,B2C,910,$1M-$10M,2013,A,Changfort,CO,(168)826-1980,,Andrew,Cook,Horticultural therapist,,145.327.2584x90556,,scraped,28
Graham-Estrada,http://www.krause-johnson.com/,Education,e-Learning,B2B2C,987,$500K-$1M,2006,B,North Adamview,NC,7847947984,,Nina,Glass,Tax inspector,,287-051-5362x06270,dblackburn@yahoo.com,manual,20
"Hudson, Johnson and Page",http://ellis-barker.com/,Software Development,e-Learning,B2C,51,$1M-$10M,2012,C,South Davidville,MI,+1-557-109-9859x8544,http://www.hernandez.com/,Heather,Sexton,Training and development officer,https://taylor-santiago.com/,938.872.9732,thomas77@rowe-hoffman.com,manual,50
May-Salazar,http://hall.com/,Education,Mobile Apps,B2B,381,$10M-$50M,1991,B,South Amanda,MD,243.039.0508,,Seth,Barker,Estate agent,,001-499-658-6881x3151,wmiller@jimenez-rodriguez.biz,scraped,35
Steele and Sons,http://www.lambert.com/,Real Estate,CRM,B2B,786,$500K-$1M,2006,A,Deniseberg,FL,619.685.6405x463,http://www.ellis-johnston.com/,Marcus,Sanchez,Pensions consultant,https://sanchez.net/,+1-275-226-9144x6528,,scraped,33
"Gregory, Ward and Olson",http://garcia-farley.com/,Real Estate,Mobile Apps,B2B2C,488,$1M-$10M,2020,A+,Morsefurt,WY,953.693.3952x2974,,Tony,Mann,Television floor manager,,(543)412-5077,sporter@jimenez.org,scraped,30
Smith Inc,https://wang.com/,Healthcare,Mobile Apps,B2C,791,$1M-$10M,1996,A,Christopherport,ID,001-681-541-0804x160,https://www.tyler-burke.com/,Jill,Hardy,"Administrator, education",https://paul-pearson.com/,+1-606-004-2238x016,susan00@thomas.com,manual,43
"Huff, Wagner and Wilson",https://rodriguez-jackson.org/,Real Estate,CRM,B2B2C,580,$1M-$10M,1991,B,Danielshire,AZ,+1-044-659-2778x34744,,Tracy,Blevins,"Scientist, clinical (histocompatibility and immunogenetics)",,498.041.5698x588,,manual,25
Russell LLC,https://hansen.org/,Real Estate,EHR Systems,B2C,368,$500K-$1M,1998,C,South Jillian,NE,852.507.5699x263,,Jennifer,Riddle,"Surveyor, mining",,(407)803-1537x088,larrymitchell@yahoo.com,scraped,15
Shaw Ltd,https://lloyd.com/,Retail,EHR Systems,B2B,326,$1M-$10M,2019,NR,West Jacquelineland,OH,(395)414-6760x667,,Brianna,Romero,Technical author,,+1-249-467-1577x1940,sarah75@hamilton.net,scraped,35
"Mack, Quinn and Boyle",http://morrow-nunez.com/,Education,EHR Systems,B2B2C,454,$1M-$10M,2014,B,New Larryside,TN,767-131-5676x78519,,Jacob,King,"Designer, television/film set",,(117)764-5039x7280,katie09@ortega-williams.com,manual,30
Mosley PLC,http://www.chan.biz/,Education,Custom Software,B2C,35,$50M+,2018,C,East Jamieburgh,KS,001-288-865-2499x38487,https://www.russo.org/,Joshua,Cruz,Higher education careers adviser,http://www.brock.com/,651-460-6866,,scraped,20
"Evans, Stevens and Martinez",https://rios.com/,Education,EHR Systems,B2B2C,188,$1M-$10M,2009,A,New Samuelmouth,AR,8009333847,,Elizabeth,King,Learning disability nurse,,310-297-8125,kathleengraham@hotmail.com,manual,38
Davis and Sons,https://stewart.com/,Finance,e-Learning,B2B,540,$50M+,2001,NR,North Charles,ND,001-069-336-3702x772,,Sherry,Parks,Emergency planning/management officer,,(467)575-8914,monicaflores@king.info,scraped,25
Nelson Inc,http://hodges.com/,Education,CRM,B2B,630,$1M-$10M,1990,NR,Brownstad,MI,531.964.2047x2541,,Diane,Hudson,Geoscientist,,001-070-355-7633x01617,,manual,35
Malone LLC,https://dean.info/,Finance,EHR Systems,B2B2C,607,$50M+,2007,A+,Lake Cheryl,ME,069-557-2193,,Kimberly,Berry,Acupuncturist,,868.410.7827,schultzjohn@smith.net,manual,30
Strickland Inc,http://taylor.com/,Finance,e-Learning,B2C,467,$500K-$1M,2006,B,Davisville,AL,(702)555-2903,https://berry-pugh.info/,Michelle,Smith,Glass blower/designer,https://www.butler.com/,3637728310,,scraped,15
Combs Group,http://perkins.com/,Education,Custom Software,B2B,791,$500K-$1M,1997,C,West Samanthaland,WV,+1-606-028-2132x068,,Peter,Frank,Art gallery manager,,(847)068-8318x5150,tammy59@gmail.com,manual,30
Lopez-Young,https://www.hill-harris.com/,Education,EHR Systems,B2B2C,165,$1M-$10M,2017,A,Grayport,MD,001-791-492-3327,,Andrea,Williams,Diagnostic radiographer,,713-413-1135x390,,scraped,28
"Mcdonald, Brown and Arnold",http://rodriguez-jackson.com/,Software Development,e-Learning,B2B2C,399,$500K-$1M,2023,A,Penamouth,OR,001-493-373-9374x3980,https://preston-melendez.org/,James,Jones,Operational researcher,http://www.bryant.com/,056-834-9837x84350,joshuabailey@yahoo.com,scraped,33
Kelly-Rogers,http://www.goodwin.com/,Retail,Mobile Apps,B2B2C,775,$10M-$50M,1991,C,Darleneburgh,PA,532-206-0913x94727,,Sarah,Cook,"Chemist, analytical",,+1-036-153-6868x897,iallen@oneill-porter.com,manual,30
Bailey-Nguyen,http://burton-wood.com/,Retail,CRM,B2C,166,$10M-$50M,2010,NR,South Matthew,DC,001-522-263-7505,,Marco,Curry,Hotel manager,,001-986-610-7942x1745,,manual,25
"Johnson, Moreno and Grant",https://www.chambers-molina.info/,Software Development,CRM,B2C,435,$50M+,2014,C,Jesusborough,MD,844.853.7550x6338,https://davis.com/,Pamela,Moses,Actuary,http://www.morgan-williams.org/,001-706-882-7845x742,,scraped,25
"Gonzalez, Rodriguez and Singh",http://williams.biz/,Real Estate,EHR Systems,B2C,508,$10M-$50M,2022,A,Jessicachester,MN,034.783.5362x65367,https://www.boyle.com/,Emily,Brown,Financial risk analyst,http://www.wilson-pugh.com/,518.472.6851x2336,,scraped,28
"Herman, Barrett and Perkins",https://brewer.biz/,Education,Accounting Tools,B2B2C,455,$10M-$50M,2002,NR,Webstertown,WV,045-060-4347,,Mary,Morgan,Television/film/video producer,,+1-197-950-5231,,manual,25
Hodges-Lee,http://collins.net/,Healthcare,EHR Systems,B2B,39,$50M+,2024,A,Port Ruben,WA,985.078.4622,,Justin,Benson,"Conservation officer, nature",,322.995.0506x037,mendozajohn@hotmail.com,manual,38
"Oneal, Martinez and Gray",https://cooper-lyons.biz/,Finance,EHR Systems,B2B2C,490,$50M+,2001,B,North Garyfort,GA,001-946-910-7710x9714,,Erin,Ortiz,Housing manager/officer,,892-571-8203,chadflores@yahoo.com,manual,20
West and Sons,https://www.bryant.com/,Software Development,EHR Systems,B2B,984,$1M-$10M,1990,A,West Kathryn,IA,+1-862-656-9063x971,https://green-morrison.com/,Misty,Bullock,Estate agent,https://ortiz.net/,(192)912-7409x2297,,scraped,53
"Avila, Santana and Ellis",https://www.cruz.org/,Real Estate,Accounting Tools,B2C,809,$50M+,1991,NR,Port Manuelville,MT,+1-595-761-0887x639,https://day.com/,Traci,Aguilar,Chief Strategy Officer,http://marquez.com/,001-882-432-1738x01665,scott60@gmail.com,manual,25
Wright-Hughes,https://www.ellison-carter.net/,Software Development,CRM,B2B,275,$50M+,2010,B,Michaelchester,IA,+1-864-122-1418,,John,Watson,Games developer,,044.491.1402,,manual,35
Yang-Glover,http://www.fitzgerald-frazier.com/,Healthcare,EHR Systems,B2C,279,$1M-$10M,1996,B,South Nancychester,UT,1017036757,,Mark,Nguyen,Best boy,,161-589-1546x19183,,manual,25
Smith LLC,https://www.ramos-nelson.net/,Real Estate,Mobile Apps,B2B,904,$50M+,2015,C,Lake Jessicaburgh,OR,001-487-547-4939x3860,https://smith-pierce.com/,Alexander,Mcdaniel,"Psychotherapist, dance movement",https://tucker-ruiz.info/,656-199-8327,,scraped,25
Solis LLC,http://www.carroll-kim.net/,Healthcare,Accounting Tools,B2C,578,$500K-$1M,2001,C,Davisberg,RI,137.160.9649x473,,Adam,Thomas,Biomedical scientist,,+1-739-336-0377x2445,,manual,15
Robinson-Reynolds,https://fry.info/,Software Development,CRM,B2B,592,$1M-$10M,2011,A,Millershire,MO,001-483-535-5486x4291,http://gilmore.org/,Alyssa,Collier,Sport and exercise psychologist,https://www.greer.com/,(055)102-6763x68529,tyronetaylor@johnston.org,manual,63
"Benson, Davis and Young",https://taylor.info/,Real Estate,Mobile Apps,B2B,152,$500K-$1M,1992,A,Kimberlyport,RI,004.847.2506,,Amanda,Hodge,Historic buildings inspector/conservation officer,,(146)681-7042,gonzaleskimberly@horton-berry.com,scraped,33
"Casey, Guerrero and Adams",https://nelson-hogan.org/,Real Estate,Accounting Tools,B2B2C,918,$1M-$10M,2012,A,South Michelletown,TN,5517415695,,Richard,Huynh,Paramedic,,+1-186-146-0844,,scraped,28
James-Burgess,http://www.oneal.biz/,Healthcare,Custom Software,B2C,145,$10M-$50M,2008,NR,Marcusfort,WY,001-228-402-1438x96151,,Jonathan,Turner,Farm manager,,448.912.7899x90500,yvette95@webb.info,scraped,25
"Sandoval, Gonzales and Koch",http://sullivan.com/,Healthcare,Custom Software,B2C,291,$500K-$1M,2022,A,Courtneyview,WY,001-486-591-9442,,Billy,Greene,Quantity surveyor,,603.182.8792x955,,manual,18
Lawson-Long,https://www.dillon.org/,Education,EHR Systems,B2B,291,$1M-$10M,2015,C,Kimberlyland,SC,001-979-522-6561x940,,Kristina,Velasquez,Product/process development scientist,,408.094.4110x9305,galvanscott@white.com,manual,40
"Thompson, Owens and Gray",https://www.graves.org/,Software Development,EHR Systems,B2B,934,$500K-$1M,2020,B,West George,KS,244-501-4098,http://spencer.com/,Jose,Joseph,Information systems manager,http://www.chavez-matthews.com/,(068)980-7416,fjohnson@ward.com,manual,40
Garcia-Lopez,https://murray.com/,Retail,e-Learning,B2B,5,$1M-$10M,2006,A,Lake Hannah,MS,097-099-3248,https://www.robinson.info/,James,Smith,"Teacher, primary school",https://www.lowe.com/,+1-678-060-9068x78379,matthewbonilla@moon.com,scraped,43
Wilson Group,https://cordova-fields.com/,Education,Accounting Tools,B2B,936,$50M+,1994,NR,Yorkmouth,CO,(588)149-2184x8760,http://bradley.com/,Nicole,Garcia,Geochemist,https://www.thomas.com/,001-558-047-7928,angela49@rocha.com,scraped,30
Johnson-Murray,https://www.brown.net/,Education,EHR Systems,B2B,460,$10M-$50M,2011,B,South Andrehaven,NV,001-654-568-0038,http://www.lucero.com/,Alexis,Medina,Clinical biochemist,http://case.biz/,001-232-961-1169x86426,hernandezsteven@gmail.com,manual,45
Schultz-Lloyd,https://burns.com/,Real Estate,Custom Software,B2C,594,$10M-$50M,1998,NR,Rivaschester,AL,213.829.5434x5061,,Elizabeth,Douglas,Academic librarian,,196-147-4524,carloshall@bell-jones.biz,manual,30
"Jones, Saunders and Stewart",https://www.duncan.com/,Retail,EHR Systems,B2B,936,$500K-$1M,2001,B,Lopezmouth,ID,+1-284-391-1613,,Natalie,Roberts,Community development worker,,001-019-562-3614x2521,smithnancy@macdonald.net,scraped,25
Blackwell PLC,http://sanchez.com/,Software Development,Accounting Tools,B2B2C,846,$1M-$10M,1997,A+,Lake Sydneymouth,LA,606.195.6567,,Donna,Walsh,Pensions consultant,,312-887-3026x967,xlewis@hotmail.com,manual,50
Smith and Sons,https://johnson.net/,Software Development,Mobile Apps,B2B,412,$10M-$50M,1994,A,South Stacey,WY,+1-617-596-1099x578,,Laura,Hicks,"Surveyor, building control",,461.136.4095x13061,,scraped,48
"Maddox, Gilmore and Huber",http://www.olson-smith.org/,Software Development,Accounting Tools,B2B2C,664,$10M-$50M,2019,NR,South Lisaburgh,LA,(749)735-0298,https://williams.com/,Jimmy,Mcdaniel,"Sound technician, broadcasting/film/video",https://wilson.com/,7531354246,mariapowell@gmail.com,manual,45
"Smith, Carter and Arnold",https://johnson-andersen.net/,Education,e-Learning,B2B2C,305,$10M-$50M,1993,A+,Carrmouth,DE,9893136221,,Kevin,Mcpherson,Charity fundraiser,,(034)135-0131x1421,martinthomas@yahoo.com,scraped,35
"Tran, Gardner and Brown",http://martinez.info/,Healthcare,Accounting Tools,B2B2C,306,$1M-$10M,2005,C,West Dawnburgh,SC,414.984.2764,http://conley-schneider.net/,John,Jackson,"Editor, film/video",http://www.smith.com/,(761)569-0179,cruzpenny@hotmail.com,scraped,30
Howell-Mcdonald,https://johnson.info/,Education,Custom Software,B2B,459,$1M-$10M,1992,B,Port Michael,NV,922-162-6446x3458,,Dennis,Wilkins,Secretary/administrator,,(931)157-0990x77359,robertsontimothy@cross-mills.net,scraped,35
Armstrong LLC,http://www.davis.com/,Healthcare,EHR Systems,B2C,352,$10M-$50M,2002,C,Kathrynburgh,SD,9656066011,,James,Kramer,"Engineer, site",,001-495-469-1014x96500,,manual,25
Mccall Ltd,http://hale.org/,Finance,Custom Software,B2B2C,21,$50M+,2000,A+,Freyport,ID,001-926-370-5477,https://www.garcia.com/,Stephanie,Bryant,"Engineer, building services",http://sutton-erickson.com/,400-027-0632,,manual,35
Torres-Franklin,https://walker.com/,Retail,e-Learning,B2B2C,931,$1M-$10M,1997,C,Lake Lauren,UT,(417)581-3422x919,http://green.com/,Justin,Brown,"Scientist, research (medical)",https://miller-thomas.biz/,387.200.6649x31658,cathy90@yahoo.com,scraped,30
"Wells, Calhoun and Bass",http://patton-perez.org/,Healthcare,Mobile Apps,B2B2C,241,$10M-$50M,2015,NR,North Mark,SD,587.306.6558x741,http://www.johnson.com/,James,Jacobson,Applications developer,https://fuller-reid.biz/,040-956-4357,thomassheila@hogan-hayden.com,manual,35
Wang Inc,http://www.reyes-berry.com/,Education,EHR Systems,B2B,66,$50M+,2008,C,Pearsontown,NV,(049)902-6943,,Benjamin,Joyce,Lawyer,,001-057-777-0140x8400,jessicasmith@yahoo.com,scraped,30
Powers Group,http://www.jones.com/,Finance,Accounting Tools,B2B2C,148,$1M-$10M,2004,NR,Stephaniechester,RI,509.952.3053,https://www.reed.info/,Charles,Ashley,Herpetologist,https://castillo.com/,970.969.7102x78963,,manual,30
Lewis-Hawkins,http://www.goodman-chavez.biz/,Healthcare,e-Learning,B2C,963,$50M+,2020,NR,Lake Davidport,TX,(309)455-0127x934,,Erin,Kelley,Orthoptist,,(576)844-4910x3455,qwallace@gmail.com,manual,15
Ford Inc,http://carr.com/,Software Development,CRM,B2B2C,223,$50M+,2002,B,Wilsonburgh,SD,439-194-0045x835,https://bryant-bell.com/,Daniel,Gutierrez,Photographer,http://www.wu.com/,2314905640,,scraped,25
Martinez-Aguirre,https://www.ryan.org/,Healthcare,Mobile Apps,B2B2C,214,$500K-$1M,2018,C,New Christian,MN,123.500.5563x2076,,Shelia,Rice,Financial controller,,181-302-2504x9368,jasonwalker@gmail.com,manual,20
Frazier Inc,https://hodge.com/,Education,e-Learning,B2B,990,$10M-$50M,1995,NR,New Dominique,MS,001-344-908-4050x90815,https://lamb-wells.com/,Jeffrey,Martin,Water quality scientist,http://www.santiago.com/,338.142.6049,aguirrebrianna@gmail.com,manual,45
"Perez, Cruz and Silva",http://bryant.biz/,Education,Custom Software,B2C,443,$10M-$50M,2023,C,New Lorrainemouth,AL,001-947-998-6185x52979,,Michele,Adkins,Magazine journalist,,490-133-8127x06581,,scraped,15
Wheeler-West,https://young.com/,Retail,CRM,B2B2C,919,$1M-$10M,1995,NR,Lisaton,WA,+1-154-613-6859x2459,,Kathryn,Bell,Occupational therapist,,001-983-613-4516x420,cbutler@yahoo.com,scraped,25
Rose-Banks,https://duran-mcfarland.net/,Software Development,e-Learning,B2B2C,961,$10M-$50M,2012,A,Port Judyhaven,AR,576-328-3712x613,http://jones-shea.com/,Matthew,Logan,Social researcher,http://www.stephenson.com/,001-828-472-4246x9647,,manual,48
"Long, Soto and Walker",https://www.huff.biz/,Finance,Accounting Tools,B2C,207,$50M+,2003,C,Mirandaberg,WA,(044)709-1905,,Thomas,Spencer,Passenger transport manager,,001-142-322-0035x989,,scraped,10
"Anderson, Nguyen and Smith",https://jones.com/,Healthcare,CRM,B2C,815,$50M+,2015,C,East Nicoleton,UT,(681)407-7826,http://www.garcia.org/,Mary,Adams,"Engineer, technical sales",http://christian.com/,(228)539-8828x704,hollandtimothy@cox.com,manual,25
Coleman LLC,http://martinez.com/,Retail,Accounting Tools,B2B2C,34,$10M-$50M,1999,NR,Mendezmouth,MN,451.189.0683x9089,,Omar,Murray,Curator,,487-495-7490,,manual,30
Simmons-Richardson,http://www.hernandez-watson.com/,Software Development,Mobile Apps,B2B,790,$50M+,1996,A+,Jamesside,MA,332-517-0879,http://www.higgins.com/,Monica,Ray,Mining engineer,https://www.li.com/,7732505500,,manual,50
Kim PLC,https://www.greene.com/,Real Estate,EHR Systems,B2B2C,297,$50M+,2005,A,Lake Jamietown,MT,(704)761-4815x482,,Victoria,Ortiz,Management consultant,,107-232-9822,,scraped,18
Parker LLC,https://morrison.com/,Software Development,CRM,B2B,861,$1M-$10M,2007,A+,East Jacob,CT,2548882736,,Justin,Gray,"Secretary, company",,218-115-3455x97151,kcantu@willis.com,manual,60
Campbell-Key,http://www.ayala.com/,Healthcare,Custom Software,B2C,83,$1M-$10M,2023,A+,Port Mary,WI,+1-242-578-4555,http://lara.com/,Charles,Barry,Records manager,https://www.james.com/,697-243-2663x4131,,scraped,35
"Barnes, Parker and Wright",https://porter.com/,Software Development,Custom Software,B2C,369,$50M+,2018,B,Port Michaelhaven,WI,702-716-9051,,Timothy,Calderon,Plant breeder/geneticist,,001-459-813-0052,hmcintosh@cardenas.com,scraped,25
Lambert Group,https://www.cameron.com/,Real Estate,Accounting Tools,B2B,555,$10M-$50M,2005,C,Bradyland,WV,(301)353-5345,,Lisa,Houston,Lexicographer,,740.763.6953x895,,scraped,30
Davis and Sons,http://castillo-baker.com/,Retail,e-Learning,B2C,947,$1M-$10M,2005,C,South James,AK,532-456-9708x13155,,Rachel,Ibarra,Insurance broker,,(925)540-1149x381,,manual,25
Bryant-Taylor,https://www.rodriguez.com/,Education,EHR Systems,B2C,740,$50M+,1991,A,Shirleyview,MT,(165)425-7592x676,http://www.sanchez.com/,Austin,Serrano,Aeronautical engineer,http://www.crawford.net/,(219)453-7062x73763,,scraped,23
Harris-Hamilton,https://www.young.com/,Finance,CRM,B2B,620,$1M-$10M,1994,A,East Melissahaven,WY,001-586-087-2063x57662,,Mark,Pearson,Landscape architect,,+1-421-679-2911x6112,,scraped,38
Mata Group,http://payne.com/,Finance,CRM,B2C,744,$500K-$1M,2003,B,Port Robert,PA,+1-804-393-6196,http://buchanan.biz/,Raymond,Miller,Horticultural therapist,https://garcia.biz/,043.183.3929x54857,dwilliams@gmail.com,scraped,20
"White, Reed and Jackson",http://holland.biz/,Retail,Accounting Tools,B2B2C,599,$500K-$1M,2008,A+,Murphyport,OH,695-983-8176,http://www.freeman.com/,Brandon,Owens,Medical sales representative,http://www.robertson-ortiz.com/,477.100.7098x0989,,scraped,25
Cox Ltd,https://burgess-russo.com/,Healthcare,e-Learning,B2B,480,$50M+,2003,A,New Chasebury,PA,+1-580-674-5387x808,https://anderson.com/,Chad,Park,Environmental manager,https://www.mckinney.biz/,001-832-076-2519x8986,garythomas@carroll.com,scraped,38
Young-Keller,https://www.marquez.com/,Software Development,e-Learning,B2C,977,$1M-$10M,2021,A+,Jacobshire,NE,001-243-878-6312x884,,Daniel,Reese,Chief Strategy Officer,,+1-224-112-6116x178,balldonna@yahoo.com,manual,45
Turner-Wallace,https://scott-aguilar.info/,Software Development,e-Learning,B2B2C,414,$10M-$50M,1994,A+,North Joshua,PA,(089)108-6322x3819,http://williams.com/,Thomas,Walsh,Psychiatric nurse,http://roth-jones.com/,(249)725-3694,,manual,50
Luna LLC,https://roberson-butler.com/,Retail,Custom Software,B2B2C,481,$50M+,2018,C,Ralphshire,FL,(731)173-4805,,Angela,Burns,Chief Operating Officer,,+1-652-767-2928,kgreene@gmail.com,manual,20
Miles-Morton,http://www.sandoval.net/,Software Development,Mobile Apps,B2B2C,932,$10M-$50M,1999,A,North Hectorland,SC,9076265178,,Deanna,Olsen,Haematologist,,+1-067-298-6294,,manual,43
Stewart PLC,http://mahoney.com/,Software Development,CRM,B2B,354,$10M-$50M,1995,A,South Travis,CO,228-101-8430,,Sierra,Warren,"Loss adjuster, chartered",,162-635-9286x39755,,scraped,48
"Scott, Warren and Garcia",http://www.mclean-thomas.net/,Education,Custom Software,B2B2C,678,$1M-$10M,2003,A,East Ashleyside,NE,645-692-8649x22773,http://www.miller.com/,William,Chambers,Public relations officer,http://leonard-moore.com/,9851596622,greggcastro@acosta-moreno.com,manual,43
"Nunez, Little and Gregory",https://www.caldwell-conner.com/,Healthcare,Custom Software,B2B,288,$500K-$1M,1993,C,Danielburgh,AK,(143)860-4439,http://www.cortez.info/,Wanda,Long,Energy engineer,http://www.schmidt.com/,(991)048-9435x1710,justin19@gmail.com,scraped,30
Mcdonald-Myers,https://www.carpenter.biz/,Software Development,Mobile Apps,B2B2C,786,$50M+,1996,C,Port Alyssa,CT,(511)041-7782x5734,,Timothy,Simmons,Estate manager/land agent,,001-418-946-7238x008,floresfrank@owen.biz,manual,30
Underwood Ltd,http://vasquez-chan.info/,Real Estate,Custom Software,B2B2C,101,$10M-$50M,1991,C,North Tracyshire,MD,5706361499,,Rita,Lawson,Field seismologist,,411.231.5782x933,larsonjulian@hotmail.com,manual,30
Mora-Baker,https://www.duran.com/,Finance,Custom Software,B2C,907,$10M-$50M,2020,C,Lake Jaredfort,MO,931.413.3492x721,https://www.garcia.com/,Matthew,Crawford,"Social research officer, government",http://keller-cantu.com/,076.288.3614x368,morrisonashley@phillips.com,scraped,25
Brown-Wagner,http://www.palmer.biz/,Real Estate,e-Learning,B2B2C,853,$10M-$50M,2011,A,Guyfurt,MO,887.466.6282x99833,https://www.sanford.info/,Nathaniel,Lamb,"Programmer, applications",https://www.gibbs-johnson.com/,001-536-633-1877x7758,,manual,38
"Dunn, Bullock and Mosley",https://www.schmidt.info/,Healthcare,e-Learning,B2B2C,989,$50M+,2016,A+,New Michael,GA,+1-836-835-6456x6904,,Amber,Santos,"Chemist, analytical",,(025)621-4125,smithkelsey@ryan-melendez.com,scraped,25
"Russell, Mejia and Scott",https://www.perez-schmitt.com/,Software Development,e-Learning,B2B2C,848,$500K-$1M,2023,A+,East Allison,TX,+1-927-151-4835x342,,Molly,Johnson,Orthoptist,,995-112-1117,,scraped,25
"Leonard, Romero and Rivera",http://www.ashley.biz/,Software Development,Custom Software,B2B,340,$50M+,1995,C,Lake Shannon,AR,284.397.1426,,Stephen,Barnes,Garment/textile technologist,,+1-225-660-1187x248,steincatherine@morris.com,manual,40
Jenkins Ltd,http://www.spencer.com/,Finance,e-Learning,B2B2C,396,$10M-$50M,2004,NR,Mooreborough,WA,(069)739-1362x69867,,Stephanie,Thompson,Advertising art director,,+1-569-473-4630x9354,,manual,25
"Summers, Roberts and Thomas",https://www.salazar-adams.net/,Real Estate,e-Learning,B2B,590,$50M+,2021,A+,New Tammymouth,AK,6234963664,https://www.stanton.net/,Lisa,Gibson,"Social research officer, government",http://www.hamilton-cochran.com/,+1-893-870-4185,,scraped,30
"Rivas, Murillo and Shaw",http://www.hernandez.com/,Education,e-Learning,B2C,155,$500K-$1M,2006,NR,Mcguiretown,RI,058.502.1914x2990,http://huffman.com/,Nathan,Hansen,Logistics and distribution manager,http://www.boone.net/,267-066-4545x4562,,scraped,15
"Lee, Roman and Rodriguez",http://sanchez.com/,Real Estate,EHR Systems,B2B,796,$500K-$1M,2015,A,West Donnaside,NH,636-561-3483x1562,,Dale,Burke,Financial planner,,001-712-678-9618x043,david35@gmail.com,scraped,33
"Wilson, Ortiz and Elliott",http://mckenzie.com/,Healthcare,EHR Systems,B2B,611,$10M-$50M,2012,A+,Amyton,KY,+1-977-711-8418x17492,,James,Roy,Manufacturing systems engineer,,6318427345,,scraped,40
"Odonnell, Russo and Cohen",http://www.wiggins.com/,Finance,CRM,B2C,489,$1M-$10M,2000,B,North Kimberlyburgh,TN,(514)362-1917,http://carpenter.info/,Candace,Davis,Make,https://www.berger.net/,001-089-128-1302x274,,scraped,25
Shaw-Jones,http://rogers.com/,Healthcare,e-Learning,B2B,75,$500K-$1M,2001,B,South Debbie,HI,165.314.7468x352,,Anita,Estrada,Architect,,953-875-9546x1489,martinezanthony@boyd-holmes.info,manual,35
Wright-Quinn,http://www.wells-duran.info/,Healthcare,e-Learning,B2B2C,841,$500K-$1M,2022,A,South Williamton,VA,807.218.9563x7627,https://guerrero.org/,Brooke,Castillo,Financial risk analyst,https://summers.com/,001-142-201-2909x6194,,manual,23
"Romero, Johnson and Freeman",https://pacheco.com/,Software Development,EHR Systems,B2C,391,$10M-$50M,2009,B,Mosesland,UT,308.636.8578,https://robertson.net/,Colleen,Smith,Analytical chemist,https://graham-martinez.com/,001-117-284-9217x7883,,manual,40
Harrison-Barnes,https://www.smith.info/,Software Development,EHR Systems,B2B,79,$1M-$10M,2007,A+,Lynchton,ME,5618486230,,Michael,Christian,Engineering geologist,,+1-963-685-1830,brianerickson@torres.info,manual,65
Branch and Sons,http://clayton.com/,Education,CRM,B2B2C,521,$50M+,2002,A,Hendersonport,ME,001-876-794-7560x2423,,Damon,Shelton,Geochemist,,3775217439,,manual,23
"Pearson, Townsend and Wiggins",http://www.schwartz-singh.com/,Retail,Mobile Apps,B2C,947,$10M-$50M,1991,A,North Shannon,NV,097-295-8365x7916,http://www.garcia-jackson.biz/,Anthony,Vasquez,Secretary/administrator,https://white.net/,(588)948-9848x706,,manual,38
Houston and Sons,http://gregory.com/,Healthcare,CRM,B2C,281,$1M-$10M,1990,C,North Erinstad,CO,001-398-153-6282x210,https://stevens.info/,Ryan,Fritz,Information officer,https://johnson-taylor.com/,+1-940-827-3643x971,dennisrodriguez@gmail.com,manual,35
"House, Rush and Washington",http://www.ward.biz/,Software Development,e-Learning,B2B2C,329,$1M-$10M,2018,A+,Johnfurt,AZ,214-600-4670x0552,,Theresa,Miller,Chiropractor,,+1-273-361-3432x81730,zray@whitehead.com,manual,50
Henry Ltd,https://villarreal.com/,Software Development,Custom Software,B2B2C,651,$1M-$10M,2013,A,Rushhaven,MI,+1-416-728-7444x5054,,Lauren,Dennis,Garment/textile technologist,,294-305-3005,,manual,43
Martinez-Wong,https://jenkins-lucas.net/,Healthcare,Mobile Apps,B2C,636,$500K-$1M,2019,A,New Matthewmouth,SD,+1-377-432-6149x055,,Stacey,Wiley,Leisure centre manager,,001-141-810-9005x4801,,manual,23
"Collier, Wells and Booth",https://www.matthews.biz/,Software Development,Custom Software,B2B,444,$1M-$10M,2008,C,Skinnerborough,ID,406-278-5593,,Stephen,Patton,Acupuncturist,,115-196-8435,cherylsmith@francis.info,manual,50
"Conner, Chaney and Martinez",https://www.bates.com/,Healthcare,Mobile Apps,B2C,596,$1M-$10M,1991,C,Baileytown,CO,(656)300-4554,,Lisa,Kirk,Barrister,,197.409.5934x75884,aschneider@jackson.com,scraped,25
Williams PLC,https://thomas.com/,Healthcare,Accounting Tools,B2C,552,$10M-$50M,2017,B,East Lorraine,VA,001-189-550-1598x2238,,Lynn,Mendez,IT consultant,,8598390577,chambersdarrell@harrison.info,manual,30
Barrera LLC,https://www.bennett.com/,Finance,Custom Software,B2B,985,$500K-$1M,2020,A+,Adambury,VA,(248)827-6235x793,http://walker.biz/,Alexander,Davis,Cabin crew,http://martinez-bishop.com/,001-311-205-6817x125,thomas00@bell-pacheco.net,manual,40
